Tech,Percentage,Date,Title
photoshop,0.4464285714285714,12-18-2019,Data Analyst
postgresql,0.8928571428571428,12-18-2019,Data Analyst
powerpoint,1.3392857142857142,12-18-2019,Data Analyst
python,13.392857142857142,12-18-2019,Data Analyst
r,8.928571428571429,12-18-2019,Data Analyst
react,0.4464285714285714,12-18-2019,Data Analyst
sap,1.3392857142857142,12-18-2019,Data Analyst
sas,6.696428571428571,12-18-2019,Data Analyst
spss,0.4464285714285714,12-18-2019,Data Analyst
sql,18.75,12-18-2019,Data Analyst
salesforce,0.8928571428571428,12-18-2019,Data Analyst
scala,0.4464285714285714,12-18-2019,Data Analyst
spark,0.4464285714285714,12-18-2019,Data Analyst
tableau,6.25,12-18-2019,Data Analyst
windows,0.4464285714285714,12-18-2019,Data Analyst
xml,0.4464285714285714,12-18-2019,Data Analyst
C++,0.4464285714285714,12-18-2019,Data Analyst
C#,0.4464285714285714,12-18-2019,Data Analyst
ajax,0.2568255215570526,12-01-2019,Data Analyst
asp,0.4341117957662121,12-01-2019,Data Analyst
aws,3.985587105058888,12-01-2019,Data Analyst
acrobat,0.004791520924571878,12-01-2019,Data Analyst
airflow,0.4331534915812977,12-01-2019,Data Analyst
alteryx,0.09487211430652318,12-01-2019,Data Analyst
android,0.3670305028222057,12-01-2019,Data Analyst
angular,0.985136702091978,12-02-2019,Data Analyst
ansible,0.14662054029189944,12-02-2019,Data Analyst
apache,0.8557656371285374,12-02-2019,Data Analyst
arduino,0.0019166083698287512,12-02-2019,Data Analyst
azure,2.4954240975170343,12-02-2019,Data Analyst
bsd,0.0019166083698287512,12-02-2019,Data Analyst
bash,0.3478644191239183,12-02-2019,Data Analyst
bigquery,0.13895410681258447,12-03-2019,Data Analyst
c++,0.009583041849143756,12-03-2019,Data Analyst
css,2.2520148345487825,12-03-2019,Data Analyst
caffe,0.08528907245737942,12-03-2019,Data Analyst
cassandra,0.377571848856264,12-03-2019,Data Analyst
chef,0.204118791386762,12-03-2019,Data Analyst
couchbase,0.014374562773715634,12-04-2019,Data Analyst
databricks,0.2616170424816245,12-04-2019,Data Analyst
