Name,Average_User_Rating,User_Rating_Count,Price,In-app_Purchases,Developer,Age_Rating,Languages,Size,Original_Release_Date,Current_Version_Release_Date,Action,Adventure,Board,Card,Casual,Education,Entertainment,Family,Puzzle,Role Playing,Simulation,Sports,Other,desc_lengths,Difference_in_Days
Frontline : The Longest Day,2.5,42.0,2.99,['0.0'],Slitherine,12.0,EN,358830080.0,1667,1310,0,0,1,0,0,0,0,0,0,0,0,0,0,1748,357
"""Buzz Aldrin's Space Program Manager""",4.0,48.0,9.99,['0.0'],Slitherine,4.0,"EN, FR, DE, IT, ES",1240442880.0,1574,1206,0,0,0,0,0,0,0,0,0,0,1,0,1,3532,368
"Warhammer 40,000: Armageddon",4.0,72.0,19.99,"['9.99', '4.99', '4.99', '4.99', '4.99', '4.99']",Slitherine,9.0,EN,1268191232.0,1475,1147,0,0,1,0,0,0,1,0,0,0,0,0,0,3879,328
Heroes of Normandie,3.5,70.0,14.99,"['1.99', '2.99']",Slitherine,12.0,EN,1508410368.0,1070,105,0,0,1,0,0,0,0,0,0,0,0,0,0,1952,965
Blindness - The Minimalist Puzzle,0.0,0.0,0.0,['0.99'],Free Games For Fun,4.0,EN,18481152.0,1687,1687,0,0,0,0,0,0,1,0,1,0,0,0,0,1215,0
Eye Guy - Reaction Time Rush,0.0,0.0,0.0,['0.0'],Dream Bot Studios LLC,4.0,EN,462237696.0,1689,1664,0,0,0,0,0,0,1,0,1,0,0,0,0,511,25
GUESS,0.0,0.0,0.0,['0.0'],Vitae Brasil,12.0,EN,302163968.0,1693,523,0,0,1,0,0,0,0,0,0,0,0,0,0,299,1170
Combat City,2.5,5.0,0.0,['0.0'],Triumb Technologies Pvt. Ltd.,17.0,EN,540718080.0,1698,1189,1,0,0,0,0,0,0,0,0,0,0,0,0,2263,509
Circular Pong in Five Nights,3.0,5.0,0.0,['4.99'],Maguy Studios,4.0,EN,55930880.0,1658,1658,0,0,0,0,1,0,1,0,0,0,0,0,0,287,0
FlashBack - Backgammon Flash Cards,0.0,0.0,0.0,"['19.99', '19.99']",Jeremy Bagai,4.0,EN,15784960.0,1694,983,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,711
Oware Master,4.5,137.0,0.0,['1.99'],Rodolphe Boulanger,4.0,"EN, FR",32323584.0,1639,177,0,0,1,0,0,0,0,0,0,0,0,0,0,972,1462
Four in a row classic free,0.0,0.0,0.0,['0.0'],Le Nhung,4.0,EN,12566528.0,1693,1693,0,0,1,0,0,1,0,0,0,0,0,0,0,409,0
Cloud Wars Sunny Day,3.0,8.0,0.0,"['0.99', '99.99', '4.99']",Yoeri Staal,4.0,EN,31095808.0,1216,959,1,0,0,0,0,0,0,0,0,0,0,0,0,286,257
Christmas Crush 2018 Xmas Game,5.0,12.0,0.0,['2.99'],zenithal softwares,4.0,EN,98520064.0,1693,212,0,0,0,0,0,0,1,0,1,0,0,0,0,842,1481
Truck Driver - Carry Load,0.0,0.0,0.0,['0.0'],Sandeep Bhandari,4.0,EN,15704064.0,1693,1621,0,0,0,0,0,0,1,0,0,0,1,0,0,769,72
Two-O Two-O,0.0,0.0,0.0,['0.0'],Shobhit Samaria,4.0,EN,10850304.0,1693,1637,0,0,0,0,0,0,0,0,1,0,0,0,0,1578,56
Candy Mania Blast - Mash and Cookie Crush edition,0.0,0.0,0.0,"['1.99', '0.99', '2.99', '8.99', '6.99', '15.99', '20.99', '9.99', '4.99', '34.99']",an na,4.0,EN,103185408.0,1695,1107,0,0,0,0,0,1,0,0,1,0,0,0,0,1204,588
Bust My Bubble - Pop the Ball Bubble Shooter Game!,4.5,6.0,0.0,['0.99'],Justin Alamar,4.0,EN,56197120.0,1687,1408,0,0,0,0,0,0,0,0,1,0,0,0,0,569,279
"""Orange Falling Blitz - Don't Drop The Fruit Survival Game LX""",0.0,0.0,2.99,['0.0'],Renato Erive,4.0,EN,31211520.0,1645,1645,0,0,0,0,0,0,1,0,0,1,0,0,0,170,0
Spy Mouse Maze Drop - Fury Kitty Extreme Madness LX,0.0,0.0,2.99,['0.0'],Renato Erive,4.0,EN,16977920.0,1652,1652,0,0,0,0,0,0,0,0,0,0,0,1,1,146,0
Kid Skater Dual Jumper Rush - Fast Action Collecting Game LX,0.0,0.0,2.99,"['0.99', '1.99', '2.99', '3.99', '4.99']",Renato Erive,4.0,EN,22867968.0,1647,1647,0,0,0,0,0,0,1,0,0,0,0,0,1,161,0
Space Punks - Invaders Clash,5.0,66.0,0.0,"['0.99', '1.99', '0.99', '0.99', '2.99', '1.99']",Z INFINITY GAMES PRIVATE LIMITED,9.0,EN,100673536.0,1488,743,0,0,0,0,0,1,0,0,1,0,0,0,0,2553,745
Fall With Gravity Escape - Speedy Jumping Rush LX,0.0,0.0,2.99,['0.0'],Renato Erive,4.0,EN,25960448.0,1650,1650,0,0,0,0,0,0,0,0,0,1,0,0,1,130,0
Flying Meow Arcade - A Cat Mission Avoiding Game,5.0,5.0,0.0,['2.99'],Renato Erive,4.0,EN,9412608.0,1651,1651,0,0,0,0,0,0,1,0,1,0,0,0,0,157,0
Hunter Runner Games - Endless Jungle Speedy Rush,5.0,6.0,0.0,['2.99'],Renato Erive,4.0,EN,30035968.0,1647,1647,0,0,0,0,0,0,1,0,0,1,0,0,0,200,0
Dead Zombie Drop Crush - Military Training Adventure,5.0,6.0,0.0,['2.99'],Renato Erive,4.0,EN,11386880.0,1644,1644,0,0,0,0,0,0,1,0,0,1,0,0,0,162,0
Darkball,4.5,18.0,0.0,['0.0'],CW&T,4.0,EN,3293184.0,1521,1512,0,0,0,0,0,0,0,0,0,0,0,0,1,1782,9
ROOL for American Roulette,0.0,0.0,0.0,"['9.99', '3.99', '1.99', '3.99', '0.99', '1.99', '4.99']",Diwudada Inc.,12.0,EN,61808640.0,1637,1637,0,0,0,0,0,0,0,0,0,0,0,0,3,4099,0
Sway Copter - Swing The Flappy Dude Up!,0.0,0.0,0.0,['0.0'],Bram Smit,4.0,EN,14528512.0,1692,1657,0,0,0,0,0,0,1,1,0,0,0,0,0,1285,35
Clear Tactic,0.0,0.0,0.0,['0.0'],Enlitanment Studios LLC,4.0,EN,69159936.0,1506,609,0,0,0,0,0,0,0,0,0,0,0,0,0,358,897
8bitWar: Apokalyps,4.5,379.0,2.99,['0.0'],Emil Zeilon,9.0,EN,30733312.0,1592,701,1,0,0,0,0,0,0,0,0,0,0,0,0,219,891
Sature,4.5,75.0,0.0,['2.99'],Ian Sundstrom,4.0,EN,67440640.0,1568,1558,0,0,1,0,0,0,0,0,0,0,0,0,0,659,10
Legend of Empire,4.5,154.0,0.0,"['14.99', '9.99', '14.99', '14.99', '9.99', '14.99', '9.99', '9.99', '9.99', '19.99']",Fingerdance,9.0,"EN, FR, DE, JA, KO, PT, RU, ZH, ES, ZH",121190400.0,1655,277,0,0,0,0,0,0,0,0,0,0,1,0,0,1640,1378
Lancaster Gunner Airfighter FREE - WW2 War Bullet Shooting Game,0.0,0.0,0.0,['2.99'],Melting Pot Games,17.0,EN,18309120.0,1614,1614,0,0,0,0,0,0,0,0,0,0,1,0,0,1351,0
Breaking Farm: The best grow marijuana sim with weed and bad pot,4.5,2797.0,0.0,"['0.99', '0.99', '0.99']",Ivanovich Games,17.0,"AR, CA, ZH, EN, FR, DE, IT, JA, PT, ES",211189760.0,1585,1492,0,0,0,0,0,0,0,0,0,0,1,0,0,1025,93
Dot vs Dot - Brain Game,0.0,0.0,0.0,['0.0'],Jakob Mikkelsen,4.0,EN,25292800.0,1693,1376,0,0,1,0,0,0,1,0,0,0,0,0,0,205,317
"""Don't Hurry""",0.0,0.0,0.0,['0.0'],FUNMELD NETWORKS PRIVATE LIMITED,4.0,EN,1082368.0,1418,648,0,0,0,0,0,0,1,0,1,0,0,0,0,219,770
Congress Solitaire - Classic,0.0,0.0,0.0,['0.0'],MmpApps Corp.,4.0,EN,22412288.0,1610,147,0,0,0,1,0,0,1,0,0,0,0,0,0,634,1463
Zoo Escape Animal Mega Safari Jump Game Free,0.0,0.0,0.0,['4.99'],Maple Lowell,4.0,EN,22474752.0,1684,1684,1,0,0,0,0,0,1,0,0,0,0,0,0,90,0
